i_idx	j_idx	xij
16	1231	0.3333333333333333
16	43	0.2
16	724	1.0
16	806	2.0
16	25	0.9166666666666666
16	1239	0.5
16	780	0.5
16	364	0.2
16	231	0.2
16	555	1.0
16	27	0.5833333333333333
16	247	0.7
16	533	0.2
16	194	0.5333333333333333
16	530	1.0
16	200	0.2
16	802	0.5
16	195	3.333333333333333
16	283	0.3333333333333333
16	46	0.5
16	234	0.2
16	346	0.25
16	67	1.0
16	210	1.0
16	35	1.0
16	243	0.3333333333333333
16	425	0.25
16	112	0.3333333333333333
16	369	0.5
16	1214	0.25
16	49	0.5333333333333333
16	1282	0.25
16	1283	0.25
16	1284	0.2
16	1293	0.2
16	144	0.3333333333333333
16	1294	0.5
16	121	1.25
16	69	0.2
16	1298	0.25
16	374	0.3333333333333333
16	29	0.5
16	790	0.5
16	757	0.2
16	1295	0.3333333333333333
16	827	0.5
16	1301	2.0
16	1000	1.0
16	505	0.2
16	687	0.25
16	424	3.0
16	623	1.0
16	39	0.45
16	1211	0.2
16	122	1.0
16	22	3.4
16	239	0.25
16	1328	0.2
16	1326	0.25
16	1259	0.5
16	613	1.0
16	339	0.25
16	464	0.5
16	1173	0.25
16	1339	0.3333333333333333
16	1174	1.0
16	11	1.75
16	832	0.25
16	109	1.0
16	149	0.3333333333333333
16	1340	0.25
16	839	0.2
16	76	0.5333333333333333
16	82	0.25
16	246	1.0
16	92	0.6666666666666666
16	137	0.2
16	64	0.3333333333333333
16	357	0.5
16	258	0.3333333333333333
16	583	0.25
16	290	0.2
16	108	0.25
16	1207	0.2
16	1358	0.5
16	166	0.5
16	622	0.2
16	172	0.5333333333333333
16	566	0.25
16	625	1.0
16	1361	1.0
16	117	0.5333333333333333
16	74	2.0
16	133	0.3333333333333333
16	398	1.0
16	193	0.5
16	300	0.3333333333333333
16	436	0.2
16	850	0.2
16	32	0.3333333333333333
16	616	0.5
16	41	2.0
16	269	0.5
16	185	0.3333333333333333
16	66	0.25
16	1381	0.3333333333333333
16	413	1.0
16	1377	0.5
16	125	0.25
16	308	0.2
16	198	0.25
16	1388	0.5
16	207	2.0
16	439	1.0
16	192	0.2
16	406	0.25
16	1376	0.5
16	626	0.25
16	116	1.0
16	1400	0.5
16	367	0.25
16	655	0.2
16	970	0.25
16	33	0.3333333333333333
16	867	1.0
16	143	0.3333333333333333
16	303	0.2
16	512	0.8333333333333333
16	1007	0.5
16	667	0.3333333333333333
16	53	0.2
16	617	0.25
16	480	0.25
16	1425	0.2
16	115	0.3333333333333333
16	636	0.2
16	250	0.5333333333333333
16	142	0.5
16	863	0.25
16	248	0.2
16	209	0.2
16	1485	0.25
16	26	0.2
16	347	0.3333333333333333
16	1481	0.25
16	113	0.5
16	1501	0.2
28	639	0.75
28	640	0.3333333333333333
28	16	1.45
28	1503	44.55000000000003
28	12	3.1666666666666665
28	146	0.6000000000000001
28	4	3.983333333333334
28	482	0.5
28	382	1.0
28	14	4.9
28	87	0.5833333333333333
28	643	0.3333333333333333
28	8	2.8333333333333335
28	102	1.0
28	111	1.0
28	103	0.3333333333333333
28	0	5.566666666666668
28	485	0.5
28	261	0.3333333333333333
28	148	2.3499999999999996
28	137	1.0
28	127	1.0
28	64	0.5
28	889	0.3333333333333333
28	386	0.2
28	25	0.3333333333333333
28	90	0.5
28	182	1.0
28	678	1.0
28	6	3.7
28	180	0.25
28	937	0.2
28	27	4.166666666666667
28	97	1.2
28	506	0.3333333333333333
28	29	1.5833333333333333
28	37	0.9
28	272	0.2
28	106	0.25
28	36	0.3333333333333333
28	166	2.0
28	965	0.3333333333333333
28	966	0.2
28	115	0.2
28	512	0.25
28	46	0.3333333333333333
28	1	6.683333333333334
28	199	1.0
28	9	1.1833333333333333
28	219	0.2
28	32	1.0
28	81	0.5
28	23	0.3333333333333333
28	529	0.25
28	710	0.2
28	406	0.7
28	715	0.25
28	11	1.4999999999999998
28	18	1.0
28	1006	0.5
28	1007	0.25
28	5	1.0833333333333333
28	52	1.0
28	79	0.25
28	673	0.3333333333333333
28	507	2.3333333333333335
28	436	0.25
28	284	0.2
28	119	0.25
28	356	0.5
28	58	1.0
28	71	1.0
28	328	0.8333333333333333
28	17	2.783333333333333
28	755	0.2
28	235	0.3333333333333333
28	1100	0.5
28	1101	1.0
28	154	0.3333333333333333
28	762	0.25
28	223	0.2
28	1154	0.3333333333333333
28	3	1.4333333333333331
28	26	0.5
28	941	0.3333333333333333
28	1155	0.2
28	61	0.25
28	264	1.0
28	489	1.3333333333333333
28	170	0.5
28	55	0.2
28	124	0.2
28	1306	0.25
28	98	0.3333333333333333
28	455	0.5
28	530	0.5
28	527	0.2
28	627	0.25
28	780	1.0
28	207	0.5
28	1352	0.3333333333333333
28	800	0.5
28	1071	0.5
28	128	0.3333333333333333
28	287	1.0
28	1359	0.5
28	62	0.3333333333333333
28	31	1.25
28	384	0.2
28	314	0.25
28	123	0.3333333333333333
28	614	2.0
28	172	1.0
28	566	0.3333333333333333
28	631	0.5
28	1362	0.3333333333333333
28	74	0.45
28	195	0.3333333333333333
28	133	1.0
28	1010	0.5
28	240	0.25
28	339	0.2
28	776	0.3333333333333333
28	19	1.5
28	1143	1.0
28	286	1.0
28	1242	0.5
28	381	0.3333333333333333
28	534	0.5333333333333333
28	469	0.5
28	819	0.3333333333333333
28	39	0.2
28	41	0.25
28	444	0.5
28	109	0.5
28	75	0.25
28	271	0.25
28	1416	1.0
28	1304	0.3333333333333333
28	110	0.2
28	91	0.25
28	67	0.3333333333333333
28	95	2.0
28	147	1.0
28	20	0.8333333333333333
28	1425	0.3333333333333333
28	229	0.25
28	2	0.2
28	593	0.2
28	860	1.0
28	181	0.3333333333333333
28	107	0.25
28	161	0.2
28	526	1.0
28	473	0.5
28	1400	0.2
28	30	0.7
28	220	1.0
28	869	0.7
28	619	1.25
28	34	0.3333333333333333
28	870	1.5
