hashtag,frequency
#CoffeeWithKeith,106
#Montana,105
#Trade,105
#SmallBusinesses,105
#SubDCCP,105
#MilitaryMonday,104
#DontDoubleMyRate,104
#FOSTA,104
#IranNuclearDeal,104
#TPS,104
#AL05,104
#CO,104
#mtgov,104
#brokenpromises,103
#CongressionalBaseballGame,103
#Iran’s,103
#MississippiMonday,103
#Trump,102
#OperationChokePoint,102
#AR2,102
#HurricaneMaria,101
#balancedbudget,101
#NationalSecurity,101
#KyProud,101
#PASen,101
#fiscalcliff,100
#RoshHashanah,100
#SecondAmendment,100
#IL12,100
#Obama's,100
#EPA's,100
#SubEnergyPower,100
#LiftTheBan,100
#tx,100
#ME02,100
#NationalDayOfPrayer,99
#July4th,99
#Manufacturing,99
#transparency,99
#AirForce,99
#AmericasVets,99
#fastandfurious,99
#FreeTheDome,99
#RepealObamacare,98
#Dallas,98
#Hanukkah,98
#NationalParks,98
#GoBucks,98
#USArmy,97
#Guantanamo,97
#ThinBlueLine,97
#Americans,97
#Springfield,97
#USMNT,96
#ExIm,96
#water,96
#Easter,96
#nuclear,96
#Gorsuch,95
#Yemen,95
#Halloween,95
#Louisiana,95
#ranchers,95
#1182more,94
#repeal,94
#UN,94
#TeamScalise,94
#amnesty,94
#DitchTheRule,94
#TexasStrong,94
#Libya,94
#BellLetsTalk,94
#NATO,93
#Healthcare,93
#BackTheBlue,93
#crowdfunding,93
#BattleBorn,93
#AskBuddy,93
#LSU,93
#HappyNewYear,92
#Holder,92
#BBA,92
#Vietnam,92
#endtrafficking,92
#Facebook,92
#BBN,92
#Alzheimers,92
#Minot,92
#Allin4Kristi,92
#IPAB,91
#FoxNews,91
#Mueller,91
#GBR,91
#NEWS,91
#ReligiousFreedomDay,90
#abortion,90
#CampFire,90
#debtceiling,90
#CutCapBalance,90
#FtHood,90
#CNY,90
#FlorenceNC,89
#Vets,89
#PearlHarborRemembranceDay,89
#MentalHealthReform,89
#SyrianRefugees,88
#MilitaryAppreciationMonth,88
#taxcuts,88
#TaxReform17,88
#LetsTalk,88
#MO03,88
#MO2,88
#DebbieLeskoForCongress,88
#HumanTraffickingAwarenessDay,87
#HR38,87
#KingvBurwell,87
#DoWhatWeSaid,87
#HappyBirthday,87
#Turkey,87
#SGR,87
#WI05,86
#STARAct,86
#sotu,86
#MakeAmericaGreatAgain,86
#Taiwan,86
#SCOTUSnominee,85
#IranProtests,85
#Army,85
#MO07,85
#Everglades,85
#SSNalerts,85
#FFA,85
#BatonRouge,84
#CheckYourCheck,84
#hemp,84
#USNavy,84
#PopeFrancis,84
#Michael,84
#Democrats,84
#Dreamers,84
#EndAlz,84
#WPS,84
#NC08,84
#leetownhall,84
#OH,83
#TN08,83
#NDPol,83
#TeamCheney,83
#theyfeelpain,82
#DPRK,82
#Relief4MainStreet,82
#backtowork,82
#midnighttexas,82
#Seed2Sawmill,82
#YourVoiceAR,82
